iteration,super_time,super_memory,super_cpu,super_results,par_total_time,par_memory,par_cpu,par_results,speedup_ratio
4,38.730125,3.4827423095703125,82.741,20,4.840963927779012,4.6468658447265625,8.573,20,8.000498573797266
5,38.549458,2.9091796875,76.111,20,5.196423622702564,4.484710693359375,16.16,20,7.4184594634628995
6,40.67,3.4595260620117188,87.496,20,4.262898374369195,4.784584045410156,3.697,20,9.540457319960899
7,35.060875,3.821807861328125,56.194,20,4.941656913774832,-6.8854827880859375,16.265,20,7.094963412427131
8,33.714,4.9039154052734375,53.658,20,4.474794621267293,4.479545593261719,5.223,20,7.5342005283925095
9,31.975042,3.4598312377929688,54.451,20,3.4686144214158414,4.6836395263671875,3.267,20,9.218390433534616
10,32.489167,4.280143737792969,58.04,20,4.564221864897208,-6.5134429931640625,7.303,20,7.118226931488507
11,30.650792,4.5578460693359375,40.646,20,3.3675763417915,4.589302062988281,7.033,20,9.10173634955941
12,31.6355,3.5035629272460938,39.614,20,3.1261073330409777,4.441253662109375,6.143,20,10.119774092729566
13,30.826083,4.162345886230469,36,20,5.3041227759735925,-5.48529052734375,6.659,20,5.811721240623386
14,33.772541,5.674873352050781,48.357,20,4.751191469619355,-5.672119140625,8.497,20,7.108225634759718
15,33.367208,5.031044006347656,48.15,20,3.434621439330643,4.438041687011719,5.939,20,9.714959447322025
16,31.877583,4.3976898193359375,45.088,20,3.70176941462992,4.611579895019531,2.676,20,8.611444806371583
17,32.552375,4.155059814453125,57.894,20,5.765834397866355,-5.387763977050781,5.579,20,5.645735335729724
18,31.315917,4.449424743652344,43.504,20,4.275753609850973,4.4255828857421875,4.072,20,7.3240695927498685
19,31.248542,2.6926345825195312,45.013,20,4.047161620282199,4.6470489501953125,2.6,20,7.721100596378237
20,31.857291,4.140342712402344,39.019,20,4.730645379039702,-6.2113494873046875,5,20,6.734237814813098
21,29.589834,4.269287109375,33.237,20,3.5745818731846075,4.555633544921875,2.597,20,8.277844808080536
22,30.397083,4.273628234863281,34.44,20,3.5070842159688396,4.477386474609375,2.861,20,8.667337630956416
23,29.390375,4.903480529785156,32.655,20,3.826814182374451,-6.253883361816406,5.571,20,7.680115521512974
24,29.812292,4.665855407714844,33.489,20,4.010374233128968,-5.301856994628906,4.97,20,7.43379302453275
25,29.290916,12.91754150390625,37.762,20,3.6856208927686436,4.4098358154296875,3.235,20,7.947349131178986
26,30.647334,3.5661697387695312,41.591,20,5.6342633852994775,-6.383331298828125,6.538,20,5.439457104537012
27,29.775334,4.560302734375,34.867,20,3.991638140002841,4.4212646484375,2.528,20,7.459427171416598
28,30.022209,4.377723693847656,36.714,20,3.9642163438184363,4.41033935546875,2.524,20,7.573302361969939
29,28.90725,4.863945007324219,34.082,20,4.225734158630667,-6.040519714355469,5.342,20,6.84076397493194
30,29.117333,4.490180969238281,32.009,20,4.672445349436861,-5.178245544433594,4.787,20,6.231711838750413
31,29.933709,5.2040252685546875,33.457,20,4.311178308685781,4.537483215332031,3.459,20,6.9432778829147965
32,28.911209,4.88995361328125,31.707,20,4.126466559925902,4.560951232910156,2.751,20,7.006286996427072
33,34.395541,4.741691589355469,66.265,20,9.42618898240014,-238.18780517578125,28.328,20,3.6489339503187055
