iteration,super_time,super_memory,super_cpu,super_results,parallel_query_time,parallel_combination_time,parallel_total_time,parallel_results
1,13.598,2.5601959228515625,31.277,0,38.853625,3.3893097022400043,42.24293470224001,18
2,4.956542,1.9266128540039062,21.283,0,41.723042,2.3210547175473253,44.044096717547326,18
3,4.988125,1.838958740234375,20.311,0,40.405333,3.129665620930981,43.53499862093098,18
4,5.114333,1.787567138671875,20.631,0,42.897292,2.07002966242123,44.96732166242123,18
5,5.009125,1.878662109375,21.764,0,38.859708,3.3359411241764736,42.19564912417647,18
6,3.990583,1.5581130981445312,19.519,0,37.961958,3.6551703067176815,41.61712830671768,18
7,4.6455,2.0374755859375,20.761,0,40.002875,3.927756441859028,43.930631441859035,18
8,4.8395,1.8608245849609375,22.423,0,40.027666,2.1334722526723215,42.16113825267232,18
9,3.10975,1.7417221069335938,10.951,0,39.172625,2.8075846438722976,41.98020964387229,18
10,3.777,1.6738967895507812,14.616,0,47.740541,2.7203467288021557,50.460887728802156,18
